Ayan01G005610	Acyan01G0056100
Ayan01G005620	Acyan01G0056200
Ayan01G005630	Acyan01G0056300
Ayan01G005640	Acyan01G0056400
Ayan01G005650	Acyan01G0056500
Ayan01G005660	Acyan01G0056600
Ayan01G005670	Acyan01G0056700
Ayan01G005680	Acyan01G0056800
Ayan01G005690	Acyan01G0056900
Ayan01G005700	Acyan01G0057000
Ayan01G005710	Acyan01G0057100
Ayan01G005720	Acyan01G0057200
Ayan01G005730	Acyan01G0057300
Ayan01G005740	Acyan01G0057400
Ayan01G005750	Acyan01G0057500
Ayan01G005760	Acyan01G0057600
Ayan01G005770	Acyan01G0057700
Ayan01G005780	Acyan01G0057800
Ayan01G005790	Acyan01G0057900
Ayan01G005800	Acyan01G0058000
Ayan01G005810	Acyan01G0058100
Ayan01G005820	Acyan01G0058200
Ayan01G005830	Acyan01G0058300
Ayan01G005840	Acyan01G0058400
Ayan01G005850	Acyan01G0058500
Ayan01G005860	Acyan01G0058600
Ayan01G005870	Acyan01G0058700
Ayan01G005880	Acyan01G0058800
Ayan01G005890	Acyan01G0058900
Ayan01G005900	Acyan01G0059000
Ayan01G005910	Acyan01G0059100
Ayan01G005920	Acyan01G0059200
Ayan01G005930	Acyan01G0059300
Ayan01G005940	Acyan01G0059400
Ayan01G005950	Acyan01G0059500
Ayan01G005960	Acyan01G0059600
Ayan01G005970	Acyan01G0059700
Ayan01G005980	Acyan01G0059800
Ayan01G005990	Acyan01G0059900
Ayan01G006000	Acyan01G0060000
Ayan01G006010	Acyan01G0060100
Ayan01G006020	Acyan01G0060200
Ayan01G006030	Acyan01G0060300
Ayan01G006040	Acyan01G0060400
Ayan01G006050	Acyan01G0060500
Ayan01G006060	Acyan01G0060600
Ayan01G006070	Acyan01G0060700
Ayan01G006080	Acyan01G0060800
Ayan01G006090	Acyan01G0060900
Ayan01G006100	Acyan01G0061000
Ayan01G006110	Acyan01G0061100
Ayan01G006120	Acyan01G0061200
Ayan01G006130	Acyan01G0061300
Ayan01G006140	Acyan01G0061400
Ayan01G006150	Acyan01G0061500
Ayan01G006160	Acyan01G0061600
Ayan01G006170	Acyan01G0061700
Ayan01G006180	Acyan01G0061800
Ayan01G006190	Acyan01G0061900
Ayan01G006200	Acyan01G0062000
Ayan01G006210	Acyan01G0062100
Ayan01G006220	Acyan01G0062200
Ayan01G006230	Acyan01G0062300
Ayan01G006240	Acyan01G0062400
Ayan01G006250	Acyan01G0062500
Ayan01G006260	Acyan01G0062600
Ayan01G006270	Acyan01G0062700
Ayan01G006280	Acyan01G0062800
Ayan01G006290	Acyan01G0062900
Ayan01G006300	Acyan01G0063000
Ayan01G006310	Acyan01G0063100
Ayan01G006320	Acyan01G0063200
Ayan01G006330	Acyan01G0063300
Ayan01G006340	Acyan01G0063400
Ayan01G006350	Acyan01G0063500
Ayan01G006360	Acyan01G0063600
Ayan01G006370	Acyan01G0063700
Ayan01G006380	Acyan01G0063800
Ayan01G006390	Acyan01G0063900
Ayan01G006400	Acyan01G0064000
Ayan01G006410	Acyan01G0064100
Ayan01G006420	Acyan01G0064200
Ayan01G006430	Acyan01G0064300
Ayan01G006440	Acyan01G0064400
Ayan01G006450	Acyan01G0064500
Ayan01G006460	Acyan01G0064600
Ayan01G006470	Acyan01G0064700
Ayan01G006480	Acyan01G0064800
Ayan01G006490	Acyan01G0064900
Ayan01G006500	Acyan01G0065000
Ayan01G006510	Acyan01G0065100
Ayan01G006520	Acyan01G0065200
Ayan01G006530	Acyan01G0065300
Ayan01G006540	Acyan01G0065400
Ayan01G006550	Acyan01G0065500
Ayan01G006560	Acyan01G0065600
Ayan01G006570	Acyan01G0065700
Ayan01G006580	Acyan01G0065800
Ayan01G006590	Acyan01G0065900
Ayan01G006600	Acyan01G0066000
Ayan01G006610	Acyan01G0066100
Ayan01G006620	Acyan01G0066200
Ayan01G006630	Acyan01G0066300
Ayan01G006640	Acyan01G0066400
Ayan01G006650	Acyan01G0066500
Ayan01G006660	Acyan01G0066600
Ayan01G006670	Acyan01G0066700
Ayan01G006680	Acyan01G0066800
Ayan01G006690	Acyan01G0066900
Ayan01G006700	Acyan01G0067000
Ayan01G006710	Acyan01G0067100
Ayan01G006720	Acyan01G0067200
Ayan01G006730	Acyan01G0067300
Ayan01G006740	Acyan01G0067400
Ayan01G006750	Acyan01G0067500
Ayan01G006760	Acyan01G0067600
Ayan01G006770	Acyan01G0067700
Ayan01G006780	Acyan01G0067800
Ayan01G006790	Acyan01G0067900
Ayan01G006800	Acyan01G0068000
Ayan01G006810	Acyan01G0068100
Ayan01G006820	Acyan01G0068200
Ayan01G006830	Acyan01G0068300
Ayan01G006840	Acyan01G0068400
Ayan01G006850	Acyan01G0068500
Ayan01G006860	Acyan01G0068600
Ayan01G006870	Acyan01G0068700
Ayan01G006880	Acyan01G0068800
Ayan01G006890	Acyan01G0068900
Ayan01G006900	Acyan01G0069000
Ayan01G006910	Acyan01G0069100
Ayan01G006920	Acyan01G0069200
Ayan01G006930	Acyan01G0069300
Ayan01G006940	Acyan01G0069400
Ayan01G006950	Acyan01G0069500
Ayan01G006960	Acyan01G0069600
Ayan01G006970	Acyan01G0069700
Ayan01G006980	Acyan01G0069800
Ayan01G006990	Acyan01G0069900
Ayan01G007000	Acyan01G0070000
Ayan01G007010	Acyan01G0070100
Ayan01G007020	Acyan01G0070200
Ayan01G007030	Acyan01G0070300
Ayan01G007040	Acyan01G0070400
Ayan01G007050	Acyan01G0070500
Ayan01G007060	Acyan01G0070600
Ayan01G007070	Acyan01G0070700
Ayan01G007080	Acyan01G0070800
Ayan01G007090	Acyan01G0070900
Ayan01G007100	Acyan01G0071000
Ayan01G007110	Acyan01G0071100
Ayan01G007120	Acyan01G0071200
Ayan01G007130	Acyan01G0071300
Ayan01G007140	Acyan01G0071400
Ayan01G007150	Acyan01G0071500
Ayan01G007160	Acyan01G0071600
Ayan01G007170	Acyan01G0071700
Ayan01G007180	Acyan01G0071800
Ayan01G007190	Acyan01G0071900
Ayan01G007200	Acyan01G0072000
Ayan01G007210	Acyan01G0072100
Ayan01G007220	Acyan01G0072200
Ayan01G007230	Acyan01G0072300
Ayan01G007240	Acyan01G0072400
Ayan01G007250	Acyan01G0072500
Ayan01G007260	Acyan01G0072600
Ayan01G007270	Acyan01G0072700
Ayan01G007280	Acyan01G0072800
Ayan01G007290	Acyan01G0072900
Ayan01G007300	Acyan01G0073000
Ayan01G007310	Acyan01G0073100
Ayan01G007320	Acyan01G0073200
Ayan01G007330	Acyan01G0073300
Ayan01G007340	Acyan01G0073400
Ayan01G007350	Acyan01G0073500
Ayan01G007360	Acyan01G0073600
