Ddye01G002500	evm.TU.HIC_ASM_0.334
Ddye01G002510	evm.TU.HIC_ASM_0.335
Ddye01G002520	evm.TU.HIC_ASM_0.337
Ddye01G002530	evm.TU.HIC_ASM_0.339
Ddye01G002540	evm.TU.HIC_ASM_0.340
Ddye01G002550	evm.TU.HIC_ASM_0.341
Ddye01G002560	evm.TU.HIC_ASM_0.342
Ddye01G002570	evm.TU.HIC_ASM_0.344
Ddye01G002580	evm.TU.HIC_ASM_0.345
Ddye01G002590	evm.TU.HIC_ASM_0.346
Ddye01G002600	evm.TU.HIC_ASM_0.347
Ddye01G002610	evm.TU.HIC_ASM_0.348
Ddye01G002620	evm.TU.HIC_ASM_0.349
Ddye01G002630	evm.TU.HIC_ASM_0.350
Ddye01G002640	evm.TU.HIC_ASM_0.351
Ddye01G002650	evm.TU.HIC_ASM_0.352
Ddye01G002660	evm.TU.HIC_ASM_0.353
Ddye01G002670	evm.TU.HIC_ASM_0.354
Ddye01G002680	evm.TU.HIC_ASM_0.356
Ddye01G002690	evm.TU.HIC_ASM_0.357
Ddye01G002700	evm.TU.HIC_ASM_0.358
Ddye01G002710	evm.TU.HIC_ASM_0.360
Ddye01G002720	evm.TU.HIC_ASM_0.361
Ddye01G002730	evm.TU.HIC_ASM_0.362
Ddye01G002740	evm.TU.HIC_ASM_0.363
Ddye01G002750	evm.TU.HIC_ASM_0.364
Ddye01G002760	evm.TU.HIC_ASM_0.365
Ddye01G002770	evm.TU.HIC_ASM_0.366
Ddye01G002780	evm.TU.HIC_ASM_0.367
Ddye01G002790	evm.TU.HIC_ASM_0.371
Ddye01G002800	evm.TU.HIC_ASM_0.373
Ddye01G002810	evm.TU.HIC_ASM_0.374
Ddye01G002820	evm.TU.HIC_ASM_0.375
Ddye01G002830	evm.TU.HIC_ASM_0.376
Ddye01G002840	evm.TU.HIC_ASM_0.377
Ddye01G002850	evm.TU.HIC_ASM_0.378
Ddye01G002860	evm.TU.HIC_ASM_0.379
Ddye01G002870	evm.TU.HIC_ASM_0.381
Ddye01G002880	evm.TU.HIC_ASM_0.382
Ddye01G002890	evm.TU.HIC_ASM_0.384
Ddye01G002900	evm.TU.HIC_ASM_0.387
Ddye01G002910	evm.TU.HIC_ASM_0.389
Ddye01G002920	evm.TU.HIC_ASM_0.390
Ddye01G002930	evm.TU.HIC_ASM_0.391
Ddye01G002940	evm.TU.HIC_ASM_0.392
