Dsin_scaffold182	ORIGINAL_SCAFFOLD_1142
Dsin_scaffold183	ORIGINAL_SCAFFOLD_1143
Dsin_scaffold184	ORIGINAL_SCAFFOLD_1144
Dsin_scaffold185	ORIGINAL_SCAFFOLD_1145
Dsin_scaffold186	ORIGINAL_SCAFFOLD_1146
Dsin_scaffold187	ORIGINAL_SCAFFOLD_1147
Dsin_scaffold188	ORIGINAL_SCAFFOLD_1148
Dsin_scaffold189	ORIGINAL_SCAFFOLD_1149
Dsin_scaffold190	ORIGINAL_SCAFFOLD_1152
Dsin_scaffold191	ORIGINAL_SCAFFOLD_1153
Dsin_scaffold192	ORIGINAL_SCAFFOLD_1154
Dsin_scaffold193	ORIGINAL_SCAFFOLD_1155
Dsin_scaffold194	ORIGINAL_SCAFFOLD_1157
Dsin_scaffold195	ORIGINAL_SCAFFOLD_1158
Dsin_scaffold196	ORIGINAL_SCAFFOLD_1159
Dsin_scaffold197	ORIGINAL_SCAFFOLD_1166
Dsin_scaffold198	ORIGINAL_SCAFFOLD_1167
Dsin_scaffold199	ORIGINAL_SCAFFOLD_1168
Dsin_scaffold200	ORIGINAL_SCAFFOLD_1169
Dsin_scaffold201	ORIGINAL_SCAFFOLD_1170
Dsin_scaffold202	ORIGINAL_SCAFFOLD_1172
Dsin_scaffold203	ORIGINAL_SCAFFOLD_1173
Dsin_scaffold204	ORIGINAL_SCAFFOLD_1174
Dsin_scaffold205	ORIGINAL_SCAFFOLD_1175
Dsin_scaffold206	ORIGINAL_SCAFFOLD_1176
Dsin_scaffold207	ORIGINAL_SCAFFOLD_1177
Dsin_scaffold208	ORIGINAL_SCAFFOLD_1178
Dsin_scaffold209	ORIGINAL_SCAFFOLD_1179
Dsin_scaffold210	ORIGINAL_SCAFFOLD_1180
Dsin_scaffold211	ORIGINAL_SCAFFOLD_1182
Dsin_scaffold212	ORIGINAL_SCAFFOLD_1184
Dsin_scaffold213	ORIGINAL_SCAFFOLD_1185
Dsin_scaffold214	ORIGINAL_SCAFFOLD_1186
Dsin_scaffold215	ORIGINAL_SCAFFOLD_1187
