Apal001S000200.1	A.palmatum_Contig1_G00021.t1
Apal001S000210.1	A.palmatum_Contig1_G00022.t1
Apal001S000220.1	A.palmatum_Contig1_G00023.t1
Apal001S000230.1	A.palmatum_Contig1_G00024.t1
Apal001S000240.1	A.palmatum_Contig1_G00025.t1
Apal001S000250.1	A.palmatum_Contig1_G00027.t1
Apal020S000010.1	A.palmatum_Contig20_G00002.t1
Apal020S000020.1	A.palmatum_Contig20_G00003.t1
Apal020S000030.1	A.palmatum_Contig20_G00004.t1
Apal020S000040.1	A.palmatum_Contig20_G00005.t1
Apal020S000050.1	A.palmatum_Contig20_G00006.t1
Apal021S000010.1	A.palmatum_Contig21_G00001.t1
Apal021S000020.1	A.palmatum_Contig21_G00002.t1
Apal021S000030.1	A.palmatum_Contig21_G00003.t1
Apal021S000040.1	A.palmatum_Contig21_G00004.t1
Apal022S000010.1	A.palmatum_Contig22_G00001.t1
Apal022S000020.1	A.palmatum_Contig22_G00002.t1
Apal022S000030.1	A.palmatum_Contig22_G00003.t1
Apal022S000040.1	A.palmatum_Contig22_G00004.t1
Apal022S000050.1	A.palmatum_Contig22_G00005.t1
Apal022S000060.1	A.palmatum_Contig22_G00006.t1
Apal022S000070.1	A.palmatum_Contig22_G00007.t1
Apal022S000080.1	A.palmatum_Contig22_G00008.t1
Apal022S000090.1	A.palmatum_Contig22_G00009.t1
Apal022S000100.1	A.palmatum_Contig22_G00010.t1
Apal022S000110.1	A.palmatum_Contig22_G00011.t1
Apal023S000010.1	A.palmatum_Contig23_G00002.t1
Apal023S000020.1	A.palmatum_Contig23_G00003.t1
Apal023S000030.1	A.palmatum_Contig23_G00004.t1
Apal023S000040.1	A.palmatum_Contig23_G00005.t1
Apal023S000050.1	A.palmatum_Contig23_G00006.t1
Apal023S000060.1	A.palmatum_Contig23_G00007.t1
Apal023S000070.1	A.palmatum_Contig23_G00008.t1
Apal023S000080.1	A.palmatum_Contig23_G00009.t1
Apal023S000090.1	A.palmatum_Contig23_G00010.t1
Apal023S000100.1	A.palmatum_Contig23_G00011.t1
Apal023S000110.1	A.palmatum_Contig23_G00012.t1
Apal023S000120.1	A.palmatum_Contig23_G00013.t1
Apal023S000130.1	A.palmatum_Contig23_G00014.t1
Apal023S000140.1	A.palmatum_Contig23_G00015.t1
Apal023S000150.1	A.palmatum_Contig23_G00016.t1
Apal023S000160.1	A.palmatum_Contig23_G00017.t1
Apal023S000170.1	A.palmatum_Contig23_G00018.t1
Apal023S000180.1	A.palmatum_Contig23_G00019.t1
Apal023S000190.1	A.palmatum_Contig23_G00020.t1
Apal023S000200.1	A.palmatum_Contig23_G00021.t1
Apal023S000210.1	A.palmatum_Contig23_G00022.t1
Apal023S000220.1	A.palmatum_Contig23_G00023.t1
Apal023S000230.1	A.palmatum_Contig23_G00024.t1
Apal023S000240.1	A.palmatum_Contig23_G00025.t1
Apal023S000250.1	A.palmatum_Contig23_G00026.t1
Apal023S000260.1	A.palmatum_Contig23_G00027.t1
Apal023S000270.1	A.palmatum_Contig23_G00028.t1
Apal023S000280.1	A.palmatum_Contig23_G00029.t1
Apal024S000010.1	A.palmatum_Contig24_G00001.t1
Apal024S000020.1	A.palmatum_Contig24_G00002.t1
Apal024S000030.1	A.palmatum_Contig24_G00003.t1
Apal024S000040.1	A.palmatum_Contig24_G00004.t1
Apal024S000050.1	A.palmatum_Contig24_G00005.t1
Apal024S000060.1	A.palmatum_Contig24_G00006.t1
Apal024S000070.1	A.palmatum_Contig24_G00007.t1
Apal024S000080.1	A.palmatum_Contig24_G00008.t1
Apal024S000090.1	A.palmatum_Contig24_G00009.t1
Apal024S000100.1	A.palmatum_Contig24_G00010.t1
Apal024S000110.1	A.palmatum_Contig24_G00011.t1
Apal024S000120.1	A.palmatum_Contig24_G00012.t1
Apal024S000130.1	A.palmatum_Contig24_G00013.t1
Apal024S000140.1	A.palmatum_Contig24_G00014.t1
Apal024S000150.1	A.palmatum_Contig24_G00015.t1
Apal024S000160.1	A.palmatum_Contig24_G00016.t1
Apal024S000170.1	A.palmatum_Contig24_G00017.t1
Apal024S000180.1	A.palmatum_Contig24_G00018.t1
Apal024S000190.1	A.palmatum_Contig24_G00019.t1
Apal024S000200.1	A.palmatum_Contig24_G00020.t1
Apal024S000210.1	A.palmatum_Contig24_G00021.t1
Apal024S000220.1	A.palmatum_Contig24_G00022.t1
Apal025S000010.1	A.palmatum_Contig25_G00001.t1
Apal025S000020.1	A.palmatum_Contig25_G00002.t1
Apal025S000030.1	A.palmatum_Contig25_G00003.t1
Apal025S000040.1	A.palmatum_Contig25_G00004.t1
Apal025S000050.1	A.palmatum_Contig25_G00005.t1
Apal025S000060.1	A.palmatum_Contig25_G00006.t1
Apal025S000070.1	A.palmatum_Contig25_G00007.t1
Apal025S000080.1	A.palmatum_Contig25_G00008.t1
Apal025S000090.1	A.palmatum_Contig25_G00009.t1
Apal025S000100.1	A.palmatum_Contig25_G00010.t1
Apal025S000110.1	A.palmatum_Contig25_G00011.t1
Apal025S000120.1	A.palmatum_Contig25_G00012.t1
Apal025S000130.1	A.palmatum_Contig25_G00013.t1
Apal025S000140.1	A.palmatum_Contig25_G00014.t1
Apal025S000150.1	A.palmatum_Contig25_G00015.t1
Apal025S000160.1	A.palmatum_Contig25_G00016.t1
Apal025S000170.1	A.palmatum_Contig25_G00017.t1
Apal025S000180.1	A.palmatum_Contig25_G00018.t1
Apal025S000190.1	A.palmatum_Contig25_G00019.t1
Apal025S000200.1	A.palmatum_Contig25_G00020.t1
Apal025S000210.1	A.palmatum_Contig25_G00021.t1
Apal026S000010.1	A.palmatum_Contig26_G00001.t1
Apal026S000020.1	A.palmatum_Contig26_G00002.t1
Apal026S000030.1	A.palmatum_Contig26_G00003.t1
Apal026S000040.1	A.palmatum_Contig26_G00004.t1
Apal026S000050.1	A.palmatum_Contig26_G00006.t1
Apal026S000060.1	A.palmatum_Contig26_G00007.t1
Apal026S000070.1	A.palmatum_Contig26_G00008.t1
Apal026S000080.1	A.palmatum_Contig26_G00009.t1
Apal026S000090.1	A.palmatum_Contig26_G00010.t1
Apal026S000100.1	A.palmatum_Contig26_G00011.t1
Apal027S000010.1	A.palmatum_Contig27_G00001.t1
Apal027S000020.1	A.palmatum_Contig27_G00003.t1
Apal027S000030.1	A.palmatum_Contig27_G00004.t1
Apal028S000010.1	A.palmatum_Contig28_G00002.t1
Apal028S000020.1	A.palmatum_Contig28_G00003.t1
Apal028S000030.1	A.palmatum_Contig28_G00004.t1
Apal028S000040.1	A.palmatum_Contig28_G00005.t1
Apal028S000050.1	A.palmatum_Contig28_G00007.t1
Apal028S000060.1	A.palmatum_Contig28_G00008.t1
Apal028S000070.1	A.palmatum_Contig28_G00009.t1
Apal029S000010.1	A.palmatum_Contig29_G00001.t1
Apal029S000020.1	A.palmatum_Contig29_G00002.t1
Apal029S000030.1	A.palmatum_Contig29_G00003.t1
Apal029S000040.1	A.palmatum_Contig29_G00004.t1
Apal029S000050.1	A.palmatum_Contig29_G00005.t1
Apal002S000010.1	A.palmatum_Contig2_G00001.t1
Apal002S000020.1	A.palmatum_Contig2_G00002.t1
Apal002S000030.1	A.palmatum_Contig2_G00003.t1
Apal002S000040.1	A.palmatum_Contig2_G00004.t1
Apal002S000050.1	A.palmatum_Contig2_G00005.t1
Apal002S000060.1	A.palmatum_Contig2_G00006.t1
Apal002S000070.1	A.palmatum_Contig2_G00007.t1
Apal002S000080.1	A.palmatum_Contig2_G00008.t1
Apal002S000090.1	A.palmatum_Contig2_G00009.t1
Apal002S000100.1	A.palmatum_Contig2_G00010.t1
Apal002S000110.1	A.palmatum_Contig2_G00011.t1
Apal002S000120.1	A.palmatum_Contig2_G00012.t1
Apal002S000130.1	A.palmatum_Contig2_G00013.t1
Apal002S000140.1	A.palmatum_Contig2_G00014.t1
Apal002S000150.1	A.palmatum_Contig2_G00016.t1
Apal002S000160.1	A.palmatum_Contig2_G00017.t1
Apal002S000170.1	A.palmatum_Contig2_G00018.t1
Apal002S000180.1	A.palmatum_Contig2_G00019.t1
Apal002S000190.1	A.palmatum_Contig2_G00020.t1
Apal002S000200.1	A.palmatum_Contig2_G00021.t1
Apal002S000210.1	A.palmatum_Contig2_G00022.t1
Apal002S000220.1	A.palmatum_Contig2_G00023.t1
Apal002S000230.1	A.palmatum_Contig2_G00024.t1
Apal002S000240.1	A.palmatum_Contig2_G00025.t1
Apal002S000250.1	A.palmatum_Contig2_G00026.t1
Apal002S000260.1	A.palmatum_Contig2_G00027.t1
Apal002S000270.1	A.palmatum_Contig2_G00028.t1
Apal002S000280.1	A.palmatum_Contig2_G00029.t1
Apal002S000290.1	A.palmatum_Contig2_G00030.t1
Apal002S000300.1	A.palmatum_Contig2_G00031.t1
Apal002S000310.1	A.palmatum_Contig2_G00032.t1
Apal002S000320.1	A.palmatum_Contig2_G00033.t1
Apal002S000330.1	A.palmatum_Contig2_G00034.t1
Apal002S000340.1	A.palmatum_Contig2_G00035.t1
Apal002S000350.1	A.palmatum_Contig2_G00036.t1
Apal002S000360.1	A.palmatum_Contig2_G00037.t1
Apal002S000370.1	A.palmatum_Contig2_G00038.t1
Apal002S000380.1	A.palmatum_Contig2_G00039.t1
Apal002S000390.1	A.palmatum_Contig2_G00040.t1
Apal002S000400.1	A.palmatum_Contig2_G00041.t1
Apal030S000010.1	A.palmatum_Contig30_G00001.t1
Apal030S000020.1	A.palmatum_Contig30_G00002.t1
Apal030S000030.1	A.palmatum_Contig30_G00003.t1
Apal030S000040.1	A.palmatum_Contig30_G00004.t1
Apal030S000050.1	A.palmatum_Contig30_G00005.t1
Apal030S000060.1	A.palmatum_Contig30_G00006.t1
Apal030S000070.1	A.palmatum_Contig30_G00007.t1
Apal030S000080.1	A.palmatum_Contig30_G00008.t1
Apal030S000090.1	A.palmatum_Contig30_G00009.t1
Apal030S000100.1	A.palmatum_Contig30_G00010.t1
Apal030S000110.1	A.palmatum_Contig30_G00011.t1
Apal030S000120.1	A.palmatum_Contig30_G00012.t1
