Acat08G014750.1	EVM0000261.1
Acat01G018130.1	EVM0000262.1
Acat04G025940.1	EVM0000263.1
Acat10G005300.1	EVM0000264.1
Acat04G023960.1	EVM0000265.1
Acat02G019930.1	EVM0000266.1
Acat04G006000.1	EVM0000267.1
Acat03G024940.1	EVM0000268.1
Acat03G004490.1	EVM0000269.1
Acat07G007190.1	EVM0000270.1
Acat13G003910.1	EVM0000271.1
Acat11G013820.1	EVM0000272.1
Acat03G002620.1	EVM0000273.1
Acat02G011910.1	EVM0000274.1
Acat03G033530.1	EVM0000275.1
Acat1155S000140.1	EVM0000276.1
Acat03G010190.1	EVM0000277.1
Acat02G031500.1	EVM0000278.1
Acat07G015750.1	EVM0000279.1
Acat01G001560.1	EVM0000280.1
Acat1007S000030.1	EVM0000281.1
Acat02G014560.1	EVM0000282.1
Acat0229S000140.1	EVM0000283.1
Acat01G027900.1	EVM0000284.1
Acat0967S000470.1	EVM0000285.1
Acat11G017710.1	EVM0000286.1
Acat06G015920.1	EVM0000287.1
Acat02G014740.1	EVM0000288.1
Acat03G000640.1	EVM0000289.1
Acat13G017930.1	EVM0000290.1
Acat05G003640.1	EVM0000291.1
Acat02G001050.1	EVM0000292.1
Acat08G013830.1	EVM0000293.1
Acat10G009110.1	EVM0000294.1
Acat1270S000040.1	EVM0000295.1
Acat03G025070.1	EVM0000296.1
Acat13G005430.1	EVM0000297.1
Acat04G013820.1	EVM0000298.1
Acat0958S000240.1	EVM0000299.1
Acat06G000140.1	EVM0000300.1
Acat05G011080.1	EVM0000301.1
Acat13G005750.1	EVM0000302.1
Acat0698S000020.1	EVM0000303.1
Acat0708S000010.1	EVM0000304.1
Acat11G015830.1	EVM0000305.1
Acat02G026980.1	EVM0000306.1
Acat06G006150.1	EVM0000307.1
Acat01G018640.1	EVM0000308.1
Acat04G011060.1	EVM0000309.1
Acat01G032200.1	EVM0000310.1
Acat03G001450.1	EVM0000311.1
Acat11G014480.1	EVM0000312.1
Acat10G012730.1	EVM0000313.1
Acat02G007580.1	EVM0000314.1
Acat08G000140.1	EVM0000315.1
Acat01G023340.1	EVM0000316.1
Acat03G034230.1	EVM0000317.1
Acat07G003230.1	EVM0000318.1
Acat09G016630.1	EVM0000319.1
Acat03G027420.1	EVM0000320.1
Acat1258S000040.1	EVM0000321.1
Acat08G012740.1	EVM0000322.1
Acat01G023320.1	EVM0000323.1
Acat06G012550.1	EVM0000324.1
Acat02G021290.1	EVM0000325.1
Acat06G005050.1	EVM0000326.1
Acat1838S000040.1	EVM0000327.1
Acat02G021720.1	EVM0000328.1
Acat05G004910.1	EVM0000329.1
Acat10G018120.1	EVM0000330.1
Acat1205S000030.1	EVM0000331.1
Acat11G004710.1	EVM0000332.1
Acat07G017550.1	EVM0000333.1
Acat1169S000010.1	EVM0000334.1
Acat04G014160.1	EVM0000335.1
Acat1179S000030.1	EVM0000336.1
Acat11G002230.1	EVM0000337.1
Acat0850S000020.1	EVM0000338.1
Acat02G027580.1	EVM0000339.1
Acat07G013480.1	EVM0000340.1
Acat13G013950.1	EVM0000341.1
Acat05G017320.1	EVM0000342.1
Acat13G004280.1	EVM0000343.1
Acat01G022230.1	EVM0000344.1
Acat04G027930.1	EVM0000345.1
Acat02G030410.1	EVM0000346.1
Acat03G027360.1	EVM0000347.1
Acat03G010390.1	EVM0000348.1
Acat04G005670.1	EVM0000349.1
Acat0573S000010.1	EVM0000350.1
Acat04G015540.1	EVM0000351.1
Acat02G012940.1	EVM0000352.1
