Acat_scaffold0447	Contig00447
Acat_scaffold0448	Contig00448
Acat_scaffold0449	Contig00449
Acat_scaffold0450	Contig00450
Acat_scaffold0451	Contig00451
Acat_scaffold0452	Contig00452
Acat_scaffold0453	Contig00453
Acat_scaffold0454	Contig00454
Acat_scaffold0455	Contig00455
Acat_scaffold0456	Contig00456
Acat_scaffold0457	Contig00457
Acat_scaffold0458	Contig00458
Acat_scaffold0459	Contig00459
Acat_scaffold0460	Contig00460
Acat_scaffold0461	Contig00461
Acat_scaffold0462	Contig00462
Acat_scaffold0463	Contig00463
Acat_scaffold0464	Contig00464
Acat_scaffold0465	Contig00465
Acat_scaffold0466	Contig00466
Acat_scaffold0467	Contig00467
Acat_scaffold0468	Contig00468
Acat_scaffold0469	Contig00469
Acat_scaffold0470	Contig00470
Acat_scaffold0471	Contig00471
Acat_scaffold0472	Contig00472
Acat_scaffold0473	Contig00473
Acat_scaffold0474	Contig00474
Acat_scaffold0475	Contig00475
Acat_scaffold0476	Contig00476
Acat_scaffold0477	Contig00477
Acat_scaffold0478	Contig00478
Acat_scaffold0479	Contig00479
Acat_scaffold0480	Contig00480
Acat_scaffold0481	Contig00481
Acat_scaffold0482	Contig00482
Acat_scaffold0483	Contig00483
Acat_scaffold0484	Contig00484
Acat_scaffold0485	Contig00485
Acat_scaffold0486	Contig00486
Acat_scaffold0487	Contig00487
Acat_scaffold0488	Contig00488
Acat_scaffold0489	Contig00489
Acat_scaffold0490	Contig00490
Acat_scaffold0491	Contig00491
Acat_scaffold0492	Contig00492
Acat_scaffold0493	Contig00493
Acat_scaffold0494	Contig00494
Acat_scaffold0495	Contig00495
Acat_scaffold0496	Contig00496
Acat_scaffold0497	Contig00497
Acat_scaffold0498	Contig00498
Acat_scaffold0499	Contig00499
Acat_scaffold0500	Contig00500
Acat_scaffold0501	Contig00501
Acat_scaffold0502	Contig00502
Acat_scaffold0503	Contig00503
Acat_scaffold0504	Contig00504
Acat_scaffold0505	Contig00505
Acat_scaffold0506	Contig00506
Acat_scaffold0507	Contig00507
Acat_scaffold0508	Contig00508
Acat_scaffold0509	Contig00509
Acat_scaffold0510	Contig00510
Acat_scaffold0511	Contig00511
Acat_scaffold0512	Contig00512
Acat_scaffold0513	Contig00513
Acat_scaffold0514	Contig00514
Acat_scaffold0515	Contig00515
Acat_scaffold0516	Contig00516
Acat_scaffold0517	Contig00517
Acat_scaffold0518	Contig00518
Acat_scaffold0519	Contig00519
Acat_scaffold0520	Contig00520
Acat_scaffold0521	Contig00521
Acat_scaffold0522	Contig00522
Acat_scaffold0523	Contig00523
Acat_scaffold0524	Contig00524
Acat_scaffold0525	Contig00525
Acat_scaffold0526	Contig00526
Acat_scaffold0527	Contig00527
Acat_scaffold0528	Contig00528
Acat_scaffold0529	Contig00529
Acat_scaffold0530	Contig00530
Acat_scaffold0531	Contig00531
Acat_scaffold0532	Contig00532
Acat_scaffold0533	Contig00533
Acat_scaffold0534	Contig00534
Acat_scaffold0535	Contig00535
Acat_scaffold0536	Contig00536
Acat_scaffold0537	Contig00537
Acat_scaffold0538	Contig00538
Acat_scaffold0539	Contig00539
Acat_scaffold0540	Contig00540
Acat_scaffold0541	Contig00541
Acat_scaffold0542	Contig00542
Acat_scaffold0543	Contig00543
Acat_scaffold0544	Contig00544
Acat_scaffold0545	Contig00545
Acat_scaffold0546	Contig00546
Acat_scaffold0547	Contig00547
Acat_scaffold0548	Contig00548
Acat_scaffold0549	Contig00549
Acat_scaffold0550	Contig00550
Acat_scaffold0551	Contig00551
Acat_scaffold0552	Contig00552
Acat_scaffold0553	Contig00553
Acat_scaffold0554	Contig00554
Acat_scaffold0555	Contig00555
Acat_scaffold0556	Contig00556
Acat_scaffold0557	Contig00557
Acat_scaffold0558	Contig00558
Acat_scaffold0559	Contig00559
Acat_scaffold0560	Contig00560
Acat_scaffold0561	Contig00561
Acat_scaffold0562	Contig00562
Acat_scaffold0563	Contig00563
Acat_scaffold0564	Contig00564
Acat_scaffold0565	Contig00565
Acat_scaffold0566	Contig00566
Acat_scaffold0567	Contig00567
Acat_scaffold0568	Contig00568
Acat_scaffold0569	Contig00569
Acat_scaffold0570	Contig00570
Acat_scaffold0571	Contig00571
Acat_scaffold0572	Contig00572
Acat_scaffold0573	Contig00573
Acat_scaffold0574	Contig00574
Acat_scaffold0575	Contig00575
Acat_scaffold0576	Contig00576
Acat_scaffold0577	Contig00577
Acat_scaffold0578	Contig00578
Acat_scaffold0579	Contig00579
Acat_scaffold0580	Contig00580
Acat_scaffold0581	Contig00581
Acat_scaffold0582	Contig00582
Acat_scaffold0583	Contig00583
Acat_scaffold0584	Contig00584
Acat_scaffold0585	Contig00585
Acat_scaffold0586	Contig00586
Acat_scaffold0587	Contig00587
Acat_scaffold0588	Contig00588
Acat_scaffold0589	Contig00589
Acat_scaffold0590	Contig00590
Acat_scaffold0591	Contig00591
Acat_scaffold0592	Contig00592
Acat_scaffold0593	Contig00593
Acat_scaffold0594	Contig00594
Acat_scaffold0595	Contig00595
Acat_scaffold0596	Contig00596
Acat_scaffold0597	Contig00597
Acat_scaffold0598	Contig00598
Acat_scaffold0599	Contig00599
Acat_scaffold0600	Contig00600
Acat_scaffold0601	Contig00601
Acat_scaffold0602	Contig00602
Acat_scaffold0603	Contig00603
Acat_scaffold0604	Contig00604
Acat_scaffold0605	Contig00605
Acat_scaffold0606	Contig00606
Acat_scaffold0607	Contig00607
Acat_scaffold0608	Contig00608
Acat_scaffold0609	Contig00609
Acat_scaffold0610	Contig00610
Acat_scaffold0611	Contig00611
Acat_scaffold0612	Contig00612
Acat_scaffold0613	Contig00613
Acat_scaffold0614	Contig00614
Acat_scaffold0615	Contig00615
Acat_scaffold0616	Contig00616
Acat_scaffold0617	Contig00617
Acat_scaffold0618	Contig00618
Acat_scaffold0619	Contig00619
Acat_scaffold0620	Contig00620
Acat_scaffold0621	Contig00621
Acat_scaffold0622	Contig00622
Acat_scaffold0623	Contig00623
Acat_scaffold0624	Contig00624
Acat_scaffold0625	Contig00625
Acat_scaffold0626	Contig00626
Acat_scaffold0627	Contig00627
Acat_scaffold0628	Contig00628
Acat_scaffold0629	Contig00629
Acat_scaffold0630	Contig00630
Acat_scaffold0631	Contig00631
Acat_scaffold0632	Contig00632
Acat_scaffold0633	Contig00633
Acat_scaffold0634	Contig00634
Acat_scaffold0635	Contig00635
Acat_scaffold0636	Contig00636
Acat_scaffold0637	Contig00637
Acat_scaffold0638	Contig00638
Acat_scaffold0639	Contig00639
Acat_scaffold0640	Contig00640
Acat_scaffold0641	Contig00641
Acat_scaffold0642	Contig00642
Acat_scaffold0643	Contig00643
Acat_scaffold0644	Contig00644
Acat_scaffold0645	Contig00645
Acat_scaffold0646	Contig00646
Acat_scaffold0647	Contig00647
Acat_scaffold0648	Contig00648
Acat_scaffold0649	Contig00649
Acat_scaffold0650	Contig00650
Acat_scaffold0651	Contig00651
Acat_scaffold0652	Contig00652
Acat_scaffold0653	Contig00653
Acat_scaffold0654	Contig00654
Acat_scaffold0655	Contig00655
Acat_scaffold0656	Contig00656
Acat_scaffold0657	Contig00657
Acat_scaffold0658	Contig00658
Acat_scaffold0659	Contig00659
Acat_scaffold0660	Contig00660
Acat_scaffold0661	Contig00661
Acat_scaffold0662	Contig00662
Acat_scaffold0663	Contig00663
Acat_scaffold0664	Contig00664
Acat_scaffold0665	Contig00665
Acat_scaffold0666	Contig00666
Acat_scaffold0667	Contig00667
Acat_scaffold0668	Contig00668
Acat_scaffold0669	Contig00669
Acat_scaffold0670	Contig00670
Acat_scaffold0671	Contig00671
Acat_scaffold0672	Contig00672
Acat_scaffold0673	Contig00673
Acat_scaffold0674	Contig00674
Acat_scaffold0675	Contig00675
Acat_scaffold0676	Contig00676
Acat_scaffold0677	Contig00677
Acat_scaffold0678	Contig00678
Acat_scaffold0679	Contig00679
Acat_scaffold0680	Contig00680
Acat_scaffold0681	Contig00681
Acat_scaffold0682	Contig00682
Acat_scaffold0683	Contig00683
Acat_scaffold0684	Contig00684
Acat_scaffold0685	Contig00685
Acat_scaffold0686	Contig00686
Acat_scaffold0687	Contig00687
Acat_scaffold0688	Contig00688
Acat_scaffold0689	Contig00689
Acat_scaffold0690	Contig00690
Acat_scaffold0691	Contig00691
Acat_scaffold0692	Contig00692
Acat_scaffold0693	Contig00693
Acat_scaffold0694	Contig00694
Acat_scaffold0695	Contig00695
Acat_scaffold0696	Contig00696
Acat_scaffold0697	Contig00697
Acat_scaffold0698	Contig00698
Acat_scaffold0699	Contig00699
Acat_scaffold0700	Contig00700
Acat_scaffold0701	Contig00701
Acat_scaffold0702	Contig00702
Acat_scaffold0703	Contig00703
Acat_scaffold0704	Contig00704
Acat_scaffold0705	Contig00705
Acat_scaffold0706	Contig00706
Acat_scaffold0707	Contig00707
Acat_scaffold0708	Contig00708
Acat_scaffold0709	Contig00709
Acat_scaffold0710	Contig00710
Acat_scaffold0711	Contig00711
Acat_scaffold0712	Contig00712
Acat_scaffold0713	Contig00713
Acat_scaffold0714	Contig00714
Acat_scaffold0715	Contig00715
Acat_scaffold0716	Contig00716
Acat_scaffold0717	Contig00717
Acat_scaffold0718	Contig00718
Acat_scaffold0719	Contig00719
Acat_scaffold0720	Contig00720
Acat_scaffold0721	Contig00721
Acat_scaffold0722	Contig00722
Acat_scaffold0723	Contig00723
Acat_scaffold0724	Contig00724
Acat_scaffold0725	Contig00725
Acat_scaffold0726	Contig00726
Acat_scaffold0727	Contig00727
Acat_scaffold0728	Contig00728
Acat_scaffold0729	Contig00729
Acat_scaffold0730	Contig00730
Acat_scaffold0731	Contig00731
Acat_scaffold0732	Contig00732
Acat_scaffold0733	Contig00733
Acat_scaffold0734	Contig00734
Acat_scaffold0735	Contig00735
Acat_scaffold0736	Contig00736
Acat_scaffold0737	Contig00737
Acat_scaffold0738	Contig00738
Acat_scaffold0739	Contig00739
Acat_scaffold0740	Contig00740
Acat_scaffold0741	Contig00741
Acat_scaffold0742	Contig00742
Acat_scaffold0743	Contig00743
Acat_scaffold0744	Contig00744
Acat_scaffold0745	Contig00745
Acat_scaffold0746	Contig00746
Acat_scaffold0747	Contig00747
Acat_scaffold0748	Contig00748
Acat_scaffold0749	Contig00749
Acat_scaffold0750	Contig00750
Acat_scaffold0751	Contig00751
Acat_scaffold0752	Contig00752
Acat_scaffold0753	Contig00753
Acat_scaffold0754	Contig00754
Acat_scaffold0755	Contig00755
Acat_scaffold0756	Contig00756
Acat_scaffold0757	Contig00757
Acat_scaffold0758	Contig00758
Acat_scaffold0759	Contig00759
Acat_scaffold0760	Contig00760
Acat_scaffold0761	Contig00761
Acat_scaffold0762	Contig00762
Acat_scaffold0763	Contig00763
Acat_scaffold0764	Contig00764
Acat_scaffold0765	Contig00765
Acat_scaffold0766	Contig00766
Acat_scaffold0767	Contig00767
Acat_scaffold0768	Contig00768
Acat_scaffold0769	Contig00769
Acat_scaffold0770	Contig00770
Acat_scaffold0771	Contig00771
Acat_scaffold0772	Contig00772
Acat_scaffold0773	Contig00773
Acat_scaffold0774	Contig00774
Acat_scaffold0775	Contig00775
Acat_scaffold0776	Contig00776
Acat_scaffold0777	Contig00777
Acat_scaffold0778	Contig00778
Acat_scaffold0779	Contig00779
Acat_scaffold0780	Contig00780
Acat_scaffold0781	Contig00781
Acat_scaffold0782	Contig00782
Acat_scaffold0783	Contig00783
Acat_scaffold0784	Contig00784
Acat_scaffold0785	Contig00785
Acat_scaffold0786	Contig00786
Acat_scaffold0787	Contig00787
Acat_scaffold0788	Contig00788
Acat_scaffold0789	Contig00789
Acat_scaffold0790	Contig00790
Acat_scaffold0791	Contig00791
Acat_scaffold0792	Contig00792
Acat_scaffold0793	Contig00793
Acat_scaffold0794	Contig00794
Acat_scaffold0795	Contig00795
Acat_scaffold0796	Contig00796
Acat_scaffold0797	Contig00797
Acat_scaffold0798	Contig00798
Acat_scaffold0799	Contig00799
Acat_scaffold0800	Contig00800
Acat_scaffold0801	Contig00801
Acat_scaffold0802	Contig00802
Acat_scaffold0803	Contig00803
Acat_scaffold0804	Contig00804
Acat_scaffold0805	Contig00805
Acat_scaffold0806	Contig00806
Acat_scaffold0807	Contig00807
Acat_scaffold0808	Contig00808
Acat_scaffold0809	Contig00809
Acat_scaffold0810	Contig00810
Acat_scaffold0811	Contig00811
Acat_scaffold0812	Contig00812
Acat_scaffold0813	Contig00813
Acat_scaffold0814	Contig00814
Acat_scaffold0815	Contig00815
Acat_scaffold0816	Contig00816
Acat_scaffold0817	Contig00817
Acat_scaffold0818	Contig00818
Acat_scaffold0819	Contig00819
Acat_scaffold0820	Contig00820
Acat_scaffold0821	Contig00821
Acat_scaffold0822	Contig00822
Acat_scaffold0823	Contig00823
Acat_scaffold0824	Contig00824
Acat_scaffold0825	Contig00825
Acat_scaffold0826	Contig00826
Acat_scaffold0827	Contig00827
Acat_scaffold0828	Contig00828
Acat_scaffold0829	Contig00829
Acat_scaffold0830	Contig00830
Acat_scaffold0831	Contig00831
