Apal01G002350	A.palmatum_LG01_G00244
Apal01G002360	A.palmatum_LG01_G00245
Apal01G002370	A.palmatum_LG01_G00246
Apal01G002380	A.palmatum_LG01_G00247
Apal01G002390	A.palmatum_LG01_G00248
Apal01G002400	A.palmatum_LG01_G00249
Apal01G002410	A.palmatum_LG01_G00250
Apal01G002420	A.palmatum_LG01_G00251
Apal01G002430	A.palmatum_LG01_G00252
Apal01G002440	A.palmatum_LG01_G00253
Apal01G002450	A.palmatum_LG01_G00254
Apal01G002460	A.palmatum_LG01_G00255
Apal01G002470	A.palmatum_LG01_G00256
Apal01G002480	A.palmatum_LG01_G00257
Apal01G002490	A.palmatum_LG01_G00258
Apal01G002500	A.palmatum_LG01_G00259
Apal01G002510	A.palmatum_LG01_G00260
Apal01G002520	A.palmatum_LG01_G00261
Apal01G002530	A.palmatum_LG01_G00262
Apal01G002540	A.palmatum_LG01_G00263
Apal01G002550	A.palmatum_LG01_G00264
Apal01G002560	A.palmatum_LG01_G00265
Apal01G002570	A.palmatum_LG01_G00266
Apal01G002580	A.palmatum_LG01_G00267
Apal01G002590	A.palmatum_LG01_G00268
Apal01G002600	A.palmatum_LG01_G00269
Apal01G002610	A.palmatum_LG01_G00270
Apal01G002620	A.palmatum_LG01_G00271
Apal01G002630	A.palmatum_LG01_G00272
Apal01G002640	A.palmatum_LG01_G00273
Apal01G002650	A.palmatum_LG01_G00274
Apal01G002660	A.palmatum_LG01_G00275
Apal01G002670	A.palmatum_LG01_G00276
Apal01G002680	A.palmatum_LG01_G00277
Apal01G002690	A.palmatum_LG01_G00278
Apal01G002700	A.palmatum_LG01_G00279
Apal01G002710	A.palmatum_LG01_G00280
Apal01G002720	A.palmatum_LG01_G00281
Apal01G002730	A.palmatum_LG01_G00282
Apal01G002740	A.palmatum_LG01_G00283
Apal01G002750	A.palmatum_LG01_G00284
Apal01G002760	A.palmatum_LG01_G00285
Apal01G002770	A.palmatum_LG01_G00286
Apal01G002780	A.palmatum_LG01_G00287
Apal01G002790	A.palmatum_LG01_G00288
Apal01G002800	A.palmatum_LG01_G00289
Apal01G002810	A.palmatum_LG01_G00290
Apal01G002820	A.palmatum_LG01_G00292
Apal01G002830	A.palmatum_LG01_G00293
Apal01G002840	A.palmatum_LG01_G00294
Apal01G002850	A.palmatum_LG01_G00295
Apal01G002860	A.palmatum_LG01_G00296
Apal01G002870	A.palmatum_LG01_G00297
Apal01G002880	A.palmatum_LG01_G00298
Apal01G002890	A.palmatum_LG01_G00299
Apal01G002900	A.palmatum_LG01_G00300
Apal01G002910	A.palmatum_LG01_G00301
Apal01G002920	A.palmatum_LG01_G00302
Apal01G002930	A.palmatum_LG01_G00303
Apal01G002940	A.palmatum_LG01_G00304
Apal01G002950	A.palmatum_LG01_G00305
Apal01G002960	A.palmatum_LG01_G00306
Apal01G002970	A.palmatum_LG01_G00307
Apal01G002980	A.palmatum_LG01_G00308
Apal01G002990	A.palmatum_LG01_G00309
Apal01G003000	A.palmatum_LG01_G00310
Apal01G003010	A.palmatum_LG01_G00311
Apal01G003020	A.palmatum_LG01_G00312
Apal01G003030	A.palmatum_LG01_G00313
Apal01G003040	A.palmatum_LG01_G00314
Apal01G003050	A.palmatum_LG01_G00315
Apal01G003060	A.palmatum_LG01_G00316
Apal01G003070	A.palmatum_LG01_G00317
Apal01G003080	A.palmatum_LG01_G00318
Apal01G003090	A.palmatum_LG01_G00319
Apal01G003100	A.palmatum_LG01_G00320
Apal01G003110	A.palmatum_LG01_G00321
Apal01G003120	A.palmatum_LG01_G00322
Apal01G003130	A.palmatum_LG01_G00323
Apal01G003140	A.palmatum_LG01_G00324
Apal01G003150	A.palmatum_LG01_G00325
Apal01G003160	A.palmatum_LG01_G00326
Apal01G003170	A.palmatum_LG01_G00327
Apal01G003180	A.palmatum_LG01_G00328
Apal01G003190	A.palmatum_LG01_G00329
Apal01G003200	A.palmatum_LG01_G00330
Apal01G003210	A.palmatum_LG01_G00331
Apal01G003220	A.palmatum_LG01_G00332
Apal01G003230	A.palmatum_LG01_G00333
Apal01G003240	A.palmatum_LG01_G00334
Apal01G003250	A.palmatum_LG01_G00335
Apal01G003260	A.palmatum_LG01_G00336
Apal01G003270	A.palmatum_LG01_G00337
Apal01G003280	A.palmatum_LG01_G00338
Apal01G003290	A.palmatum_LG01_G00339
Apal01G003300	A.palmatum_LG01_G00340
Apal01G003310	A.palmatum_LG01_G00341
Apal01G003320	A.palmatum_LG01_G00342
Apal01G003330	A.palmatum_LG01_G00343
Apal01G003340	A.palmatum_LG01_G00344
Apal01G003350	A.palmatum_LG01_G00345
Apal01G003360	A.palmatum_LG01_G00346
Apal01G003370	A.palmatum_LG01_G00347
Apal01G003380	A.palmatum_LG01_G00348
Apal01G003390	A.palmatum_LG01_G00349
Apal01G003400	A.palmatum_LG01_G00350
Apal01G003410	A.palmatum_LG01_G00351
Apal01G003420	A.palmatum_LG01_G00352
Apal01G003430	A.palmatum_LG01_G00353
Apal01G003440	A.palmatum_LG01_G00354
Apal01G003450	A.palmatum_LG01_G00355
Apal01G003460	A.palmatum_LG01_G00356
Apal01G003470	A.palmatum_LG01_G00357
Apal01G003480	A.palmatum_LG01_G00358
Apal01G003490	A.palmatum_LG01_G00359
Apal01G003500	A.palmatum_LG01_G00360
Apal01G003510	A.palmatum_LG01_G00361
Apal01G003520	A.palmatum_LG01_G00362
Apal01G003530	A.palmatum_LG01_G00363
Apal01G003540	A.palmatum_LG01_G00364
Apal01G003550	A.palmatum_LG01_G00365
Apal01G003560	A.palmatum_LG01_G00366
Apal01G003570	A.palmatum_LG01_G00367
Apal01G003580	A.palmatum_LG01_G00368
Apal01G003590	A.palmatum_LG01_G00369
Apal01G003600	A.palmatum_LG01_G00370
Apal01G003610	A.palmatum_LG01_G00371
Apal01G003620	A.palmatum_LG01_G00372
Apal01G003630	A.palmatum_LG01_G00373
Apal01G003640	A.palmatum_LG01_G00374
Apal01G003650	A.palmatum_LG01_G00375
Apal01G003660	A.palmatum_LG01_G00376
Apal01G003670	A.palmatum_LG01_G00377
Apal01G003680	A.palmatum_LG01_G00378
Apal01G003690	A.palmatum_LG01_G00379
Apal01G003700	A.palmatum_LG01_G00380
Apal01G003710	A.palmatum_LG01_G00381
Apal01G003720	A.palmatum_LG01_G00382
Apal01G003730	A.palmatum_LG01_G00383
Apal01G003740	A.palmatum_LG01_G00384
Apal01G003750	A.palmatum_LG01_G00385
Apal01G003760	A.palmatum_LG01_G00386
Apal01G003770	A.palmatum_LG01_G00387
Apal01G003780	A.palmatum_LG01_G00388
Apal01G003790	A.palmatum_LG01_G00389
Apal01G003800	A.palmatum_LG01_G00390
Apal01G003810	A.palmatum_LG01_G00391
Apal01G003820	A.palmatum_LG01_G00392
Apal01G003830	A.palmatum_LG01_G00393
Apal01G003840	A.palmatum_LG01_G00395
Apal01G003850	A.palmatum_LG01_G00396
Apal01G003860	A.palmatum_LG01_G00397
Apal01G003870	A.palmatum_LG01_G00398
Apal01G003880	A.palmatum_LG01_G00399
Apal01G003890	A.palmatum_LG01_G00400
Apal01G003900	A.palmatum_LG01_G00401
Apal01G003910	A.palmatum_LG01_G00402
Apal01G003920	A.palmatum_LG01_G00403
Apal01G003930	A.palmatum_LG01_G00404
Apal01G003940	A.palmatum_LG01_G00405
Apal01G003950	A.palmatum_LG01_G00406
Apal01G003960	A.palmatum_LG01_G00407
Apal01G003970	A.palmatum_LG01_G00408
Apal01G003980	A.palmatum_LG01_G00409
Apal01G003990	A.palmatum_LG01_G00410
Apal01G004000	A.palmatum_LG01_G00411
Apal01G004010	A.palmatum_LG01_G00412
Apal01G004020	A.palmatum_LG01_G00413
Apal01G004030	A.palmatum_LG01_G00414
Apal01G004040	A.palmatum_LG01_G00415
Apal01G004050	A.palmatum_LG01_G00416
Apal01G004060	A.palmatum_LG01_G00417
Apal01G004070	A.palmatum_LG01_G00418
Apal01G004080	A.palmatum_LG01_G00419
Apal01G004090	A.palmatum_LG01_G00420
